cityName,address,name,minRateId
苏州市,苏绣路苏州中心北车库2号口驶入（B2层 2322-2242号；B3层 3523~3533号）,万马爱充苏州中心站,10086
深圳市,广东省深圳市宝安区新桥街道新玉路北侧芙蓉体育公园停车场内,万马爱充芙蓉体育公园站,20757
三亚市,海南省三亚市天涯区金鸡岭桥头公园停车场,万马爱充金鸡岭桥头公园站,19262
三亚市,海南省三亚市吉阳区丰兴隆桥头公园停车场,万马爱充丰兴隆桥头公园站,19262
三亚市,海南省三亚市海棠区三亚国际免税店大巴停车场,万马爱充海棠湾免税店站,19262
三亚市,海南省三亚市吉阳区海螺一路与凤凰路交汇处红树林生态公园停车场,万马爱充红树林生态公园东门站,19262
西安市,陕西省西安市未央区石化大道85号,万马爱充祥云物流园站,10100
杭州市,浙江省杭州市余杭区五常大道与和睦路交汇处,万马爱充西溪华元欢乐城站,16739
苏州市,苏州市虎丘区狮山路28号高新广场南入口地下负三层右拐,万马爱充高新广场站,12405
南京市,南京市鼓楼区淮滨路1号滨江希尔顿酒店地下停车场B1层,万马爱充滨江希尔顿酒店站,19357
南京市,南京市鼓楼区建宁路8号玉桥国际公寓地下停车场B2层,万马爱充玉桥国际公寓站,19357
南京市,南京市鼓楼区傅佐路31号Touch酒店旁地面停车场,万马爱充山西路TOUCH酒店站,19357
三亚市,海南省三亚市吉阳区海螺一路红树林生态公园西门（正门）停车场,万马爱充红树林生态公园西门站,19262
深圳市,宝安区沙井街道上星路东靓车屋停车场内,万马爱充沙井上星路站,20652
东莞市,新基村新能源产业园尤特物流园内,万马爱充尤特站,16650
佛山市,佛山市南海区桂城街道简平路1号天安数码城（小车站）,万马爱充天安数码城站,9979
杭州市,浙江省杭州市江干区下沙经济开发区1号大街68号,万马爱充华媒科创园一期站,16738
北京市,北京市顺义区李天路寰宇科技园西侧,万马爱充泊安飞环宇停车场站,19257
苏州市,苏州市吴中区企鸿路18号双湖广场东南门入口（B2层左拐到底）,万马爱充双湖广场站,18437
深圳市,大鹏街道鹏城社区鹏飞路278号富华厂工业园,万马爱充大鹏欢乐海湾度假区站,9201
深圳市,坂田街道五和南路82号阳光湾畔内,万马爱充五和阳光湾畔站,9201
北京市,北京市东城区金宝街89号,万马爱充金宝大厦站,19254
南京市,南京市江宁区秣陵工业园隆盛路58号立夫安防公司内地面停车场,万马爱充秣陵工业园站,19249
深圳市,深圳市南湾街道沙湾社区兴华路11号,万马爱充沙湾兴华路站,9201
重庆市,重庆市南岸区南坪西路114号南部公交维修一厂内,万马爱充柴保厂站,20723
深圳市,深圳市宝安区宝源路F518时尚创意园内停车场,万马爱充F518创意园区站,9616
三亚市,海南省三亚市天涯区天涯海角正门对面停车场,万马爱充天涯海角站,20639
佛山市,南海区东秀路材料C区公交站,万马爱充新材料产业C区站,19297
西安市,陕西省西安市长安区普新二路9号,万马爱充高新普洛斯站,8590
西安市,西安市阎良区人民东路16号,万马爱充阎良公交站,10099
西安市,陕西省西安市未央区东兴路11号,万马爱充北客站文景山公园站,8590
佛山市,南海区和桂大道和桂工业园公交站,万马爱充和桂工业园站,16737
佛山市,南海区里水镇南方医科大学南海医院(公交站),万马爱充南方医科大学南海医院站,8693
三明市,福建省三明市梅列区东乾三路体育馆东旁,万马爱充梅列区体育馆东公交站,19373
泉州市,福建省泉州市丰泽区城东街道埭头社区安吉南路美仙山花苑二期,万马爱充美仙山二期站,19375
苏州市,苏州市姑苏区新郭路333号四季广场（进门后直行到底后左拐到底）,万马爱充四季商业广场站,12405
重庆市,重庆市渝北区双龙东路199-18号,万马爱充渝北城南站,20723
武汉市,武汉市东西湖区临空港大道百信集团院内,万马爱充百信集团站,19364
苏州市,苏州市工业园区西沈浒路138号（进门后直行150米）,万马爱充西沈浒路站,18437
成都市,成都市武侯区文昌路375号,万马爱充文昌路厂房站,20783
成都市,成都市双流县广都大道188号,万马爱充双流客运中心站,20771
重庆市,重庆市江北区洋河北路力帆体育城露天停车场（江北区群众体育健身活动中心旁）,万马爱充力帆体育城站,20723
重庆市,重庆市大渡口区双山路131号（爱与山旁露天停车场）,万马爱充爱与山站,20723
深圳市,深圳市宝安区光明办事处明卓工业园,万马爱充明卓兴工业园站,10083
成都市,成都市武侯区武青东一路10号,万马爱充缘源生态园站,20771
成都市,成都市金牛区金丰路299号,万马爱充成彭立交站,20783
重庆市,重庆市渝北区松石北路146号,万马爱充花园新村站,20723
重庆市,重庆市渝北区昆仑大道50号南广场公交枢纽站内,万马爱充龙头寺南广场站,20784
无锡市,无锡市新吴区锡贤路162号平达纺织厂（进门后直行50米右拐到底）,万马爱充锡贤路站,9573
无锡市,无锡市新吴区城南路208号世纪风服饰公司东南角（进门后直行200米左拐）,万马爱充城南路站,9573
重庆市,重庆市南岸区南滨路东原1891E馆B1层停车场,万马爱充东原1891站,20785
重庆市,重庆市渝北区临港大道110号（公交枢纽站内）,万马爱充双凤桥换乘枢纽站,20723
苏州市,苏州市工业园区苏雅路388号天虹商场地下车库（B2层F区）,万马爱充天虹商场站,18437
苏州市,苏州市虎丘区长江路556号港龙城地下车库（B2层E区）,万马爱充港龙城站,19371
深圳市,广东省深圳市南山区南山街道月亮湾沿山路荔山工业园旁,万马爱充荔山工业园站,9201
深圳市,广东省深圳市宝安区东方大道松岗中学西侧,万马爱充松岗体育中心站,20649
深圳市,深圳市龙华区环观路观澜山水田园停车场内,万马爱充观澜山水田园站,20651
武汉市,武汉市江夏区高新二路首创奥特莱斯停车场3层,万马爱充首创奥特莱斯站,9611
杭州市,浙江省杭州市下城区中山北路561号（世纪联华停车场指引牌的入口进入，位于停车场F区超市旁）,万马爱充西湖文化广场站,16738
重庆市,重庆市北碚区云清路216号,万马爱充北碚城南站,20723
深圳市,龙华新区玉田花园枭龙路东,万马爱充大浪玉田花园站,10085
宜昌市,宜昌市伍家岗区伍临路共联商贸大市场内,万马爱充宜昌共联大市场站,9274
厦门市,福建省厦门市湖里区五通社区泥金公交总站旁国投停车场,万马爱充国投泥金停车场站,19375
泉州市,福建省泉州市丰泽区泉秀路189号（沉洲路泉州旅游服务中心）,万马爱充洛江出租车公司站,19375
南京市,南京市江宁区务本路79号恒安检测站院内地面停车场,万马爱充恒安检测站,19249
杭州市,浙江省杭州市余杭区高教路984号未来科技城海创园(东门高教路入口),万马爱充未来科技城海创园站,16739
武汉市,武汉市新洲区阳逻街童院村万马新能源汽车充电站,万马爱充阳逻平江大道站,19364
重庆市,重庆市江北区海尔路272号（吉安园茅溪小区旁）,万马爱充江北金山站,20784
杭州市,杭州市萧山区纬二路99号,万马爱充大江东临江高新技术产业园站,16738
广州市,南岗丹水坑路福顺货运旁,万马爱充丹水坑风景区站,19285
南京市,南京市鼓楼区幕府东路55-71号，近苏果社区店(旭日景城社区店)旁地面停车场,万马爱充弘阳旭日景城站,19249
苏州市,苏州市吴中区东吴北路112号朗庭·乐享汇地下一层,万马爱充东吴大厦站,20829
重庆市,重庆市大渡口区双龙路2-附105号,万马爱充中交丽景站,20723
重庆市,重庆市九龙坡区石坪桥横街2号附1号,万马爱充石坪桥站,20723
苏州市,苏州市姑苏区虎阜路999号虎丘婚纱城B1层I区,万马爱充虎丘婚纱城站,12405
杭州市,浙江省杭州市余杭区良睦路1399-3号楼,万马爱充未来科技城互联网村站,16739
杭州市,浙江省杭州市余杭区良睦路1288-6号楼,万马爱充未来科技城梦想小镇羊锅村站,16739
重庆市,重庆市北碚区碚峡路315号鱼塘湾车站,万马爱充北碚北合站,20723
广州市,广东省广州市番禺沙头街西丽工业区丽景路78号,万马爱充丽景路站,19286
苏州市,苏州市相城区南天成路111号水景路入口B2负二层C区（车位号799到810）,万马爱充圆融广场站,10086
成都市,成都市科园南路1号,万马爱充海特国际广场站,20771
武汉市,武汉市东西湖区商贸大道与新岭三路交叉口停车场入口,万马爱充汇通公路港站,20815
